132,52,148
83,92,18
122,84,149
127,130,225
81,76,224
58,123,251
146,34,32
194,14,243
114,51,47
88,53,144
48,41,157
116,105,35
121,59,217
90,67,36
72,223,14
17,228,26
49,218,170
2,218,53
250,169,72
176,237,181
90,98,17
131,187,114
129,245,41
153,17,99
222,243,104
16,247,188
49,241,88
76,208,163
61,236,176
221,98,118
156,237,133
80,171,214
23,48,21
30,138,109
37,227,181
211,88,58
99,78,102
2,168,92
57,92,0
189,120,255
252,202,2
42,81,245
86,118,252
141,31,126
101,146,239
130,193,172
79,25,73
107,254,194
70,64,54
39,229,43
102,151,235
247,125,74
49,57,202
64,245,146
154,61,255
4,5,140
245,103,236
228,161,124
79,39,69
33,71,26
135,205,162
142,243,249
69,224,222
191,106,162
120,197,178
123,79,59
213,154,178
234,113,4
100,128,148
239,114,222
63,192,197
195,12,115
155,72,145
207,211,116
238,170,195
17,52,132
90,73,23
157,62,32
211,58,118
243,24,84
72,17,148
222,48,67
236,62,108
29,101,83
167,127,15
5,158,165
122,180,40
214,125,37
202,18,16
137,10,68
37,73,112
208,16,105
163,228,70
71,237,15
153,96,175
136,131,169
48,141,122
27,62,2
47,38,222
62,226,137
